Trying substitutions to: 14
with goodVertices 1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 13, 15
bad color to improve: 4  11  with index 65
bad color to improve: 6  8  with index 83
bad color to improve: 8  11  with index 103
3 bad colorings on level 1
Solved config  |4, 11| descendents: 
|1, 5, 9, 10, 12, 14 |---| 3, 9, 10, 13, 14|
|3, 3, 1, 1|---> |1, 3| possibles  |15|
|3, 9, 1, 1|---> |1, 3| possibles  |15|
|3, 10, 1, 1|---> |2, 3| possibles  |15|
|3, 13, 1, 1|---> |5, 9| possibles  |4, 7, 8|
|3, 14, 1, 1|---> |4, 6| possibles  |9, 10, 12, 14|
|9, 9, 1, 1|---> |1, 3| possibles  |15|
|9, 10, 1, 1|---> |3, 4| possibles  |1, 5|
|9, 13, 1, 1|---> |4, 6| possibles  |9, 10, 12, 14|
|9, 14, 1, 1|---> |3, 4| possibles  |1, 5|
|10, 10, 1, 1|---> |2, 3| possibles  |15|
|10, 13, 1, 1|---> |4, 6| possibles  |9, 10, 12, 14|
|10, 14, 1, 1|---> |3, 4| possibles  |1, 5|
|13, 13, 1, 1|---> |5, 9| possibles  |4, 7, 8|
|13, 14, 1, 1|---> |4, 6| possibles  |9, 10, 12, 14|
|14, 14, 1, 1|---> |3, 4| possibles  |1, 5|
|3, 3, 1, 5|---> |1, 3| possibles  |15|
|3, 9, 1, 5|---> |1, 3| possibles  |15|
|3, 10, 1, 5|---> |2, 3| possibles  |15|
|3, 13, 1, 5|---> |4, 6| possibles  |9, 10, 12, 14|
|3, 14, 1, 5|---> |4, 6| possibles  |9, 10, 12, 14|
|9, 9, 1, 5|---> |1, 3| possibles  |15|
|9, 10, 1, 5|---> |3, 4| possibles  |1, 5|
|9, 13, 1, 5|---> |4, 6| possibles  |9, 10, 12, 14|
|9, 14, 1, 5|---> |3, 4| possibles  |1, 5|
|10, 10, 1, 5|---> |2, 3| possibles  |15|
|10, 13, 1, 5|---> |4, 6| possibles  |9, 10, 12, 14|
|10, 14, 1, 5|---> |3, 4| possibles  |1, 5|
|13, 13, 1, 5|---> |4, 6| possibles  |9, 10, 12, 14|
|13, 14, 1, 5|---> |4, 6| possibles  |9, 10, 12, 14|
|14, 14, 1, 5|---> |3, 4| possibles  |1, 5|
|3, 3, 1, 9|---> |1, 15| possibles  |3, 9|
|3, 9, 1, 9|---> |1, 15| possibles  |3, 9|
|3, 10, 1, 9|---> |2, 4| possibles  |10, 12|
|3, 13, 1, 9|---> |5, 15| possibles  |3, 7, 13|
|3, 14, 1, 9|---> |4, 6| possibles  |9, 10, 12, 14|
|9, 9, 1, 9|---> |1, 15| possibles  |3, 9|
|9, 10, 1, 9|---> |4, 4| possibles  |1, 5, 9, 10, 12, 14|
|9, 13, 1, 9|---> |4, 6| possibles  |9, 10, 12, 14|
|9, 14, 1, 9|---> |4, 4| possibles  |1, 5, 9, 10, 12, 14|
|10, 10, 1, 9|---> |2, 4| possibles  |10, 12|
|10, 13, 1, 9|---> |4, 6| possibles  |9, 10, 12, 14|
|10, 14, 1, 9|---> |4, 4| possibles  |1, 5, 9, 10, 12, 14|
|13, 13, 1, 9|---> |5, 15| possibles  |3, 7, 13|
|13, 14, 1, 9|---> |4, 6| possibles  |9, 10, 12, 14|
|14, 14, 1, 9|---> |4, 4| possibles  |1, 5, 9, 10, 12, 14|
|3, 3, 1, 10|---> |1, 15| possibles  |3, 9|
|3, 9, 1, 10|---> |1, 15| possibles  |3, 9|
|3, 10, 1, 10|---> |2, 4| possibles  |10, 12|
|3, 13, 1, 10|---> |5, 15| possibles  |3, 7, 13|
|3, 14, 1, 10|---> |4, 6| possibles  |9, 10, 12, 14|
|9, 9, 1, 10|---> |1, 15| possibles  |3, 9|
|9, 10, 1, 10|---> |4, 4| possibles  |1, 5, 9, 10, 12, 14|
|9, 13, 1, 10|---> |4, 6| possibles  |9, 10, 12, 14|
|9, 14, 1, 10|---> |4, 4| possibles  |1, 5, 9, 10, 12, 14|
|10, 10, 1, 10|---> |2, 4| possibles  |10, 12|
|10, 13, 1, 10|---> |4, 6| possibles  |9, 10, 12, 14|
|10, 14, 1, 10|---> |4, 4| possibles  |1, 5, 9, 10, 12, 14|
|13, 13, 1, 10|---> |5, 15| possibles  |3, 7, 13|
|13, 14, 1, 10|---> |4, 6| possibles  |9, 10, 12, 14|
|14, 14, 1, 10|---> |4, 4| possibles  |1, 5, 9, 10, 12, 14|
|3, 3, 1, 12|---> |1, 9| possibles  |4, 15|
|3, 9, 1, 12|---> |1, 9| possibles  |4, 15|
|3, 10, 1, 12|---> |2, 4| possibles  |10, 12|
|3, 13, 1, 12|---> |5, 9| possibles  |4, 7, 8|
|3, 14, 1, 12|---> |4, 6| possibles  |9, 10, 12, 14|
|9, 9, 1, 12|---> |1, 9| possibles  |4, 15|
|9, 10, 1, 12|---> |4, 4| possibles  |1, 5, 9, 10, 12, 14|
|9, 13, 1, 12|---> |4, 6| possibles  |9, 10, 12, 14|
|9, 14, 1, 12|---> |4, 4| possibles  |1, 5, 9, 10, 12, 14|
|10, 10, 1, 12|---> |2, 4| possibles  |10, 12|
|10, 13, 1, 12|---> |4, 6| possibles  |9, 10, 12, 14|
|10, 14, 1, 12|---> |4, 4| possibles  |1, 5, 9, 10, 12, 14|
|13, 13, 1, 12|---> |5, 9| possibles  |4, 7, 8|
|13, 14, 1, 12|---> |4, 6| possibles  |9, 10, 12, 14|
|14, 14, 1, 12|---> |4, 4| possibles  |1, 5, 9, 10, 12, 14|
|3, 3, 1, 14|---> |1, 15| possibles  |3, 9|
|3, 9, 1, 14|---> |1, 15| possibles  |3, 9|
|3, 10, 1, 14|---> |2, 4| possibles  |10, 12|
|3, 13, 1, 14|---> |5, 15| possibles  |3, 7, 13|
|3, 14, 1, 14|---> |4, 6| possibles  |9, 10, 12, 14|
|9, 9, 1, 14|---> |1, 15| possibles  |3, 9|
|9, 10, 1, 14|---> |4, 4| possibles  |1, 5, 9, 10, 12, 14|
|9, 13, 1, 14|---> |4, 6| possibles  |9, 10, 12, 14|
|9, 14, 1, 14|---> |4, 4| possibles  |1, 5, 9, 10, 12, 14|
