Trying substitutions to: 13
with goodVertices 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 15
bad color to improve: 0  6  with index 6
bad color to improve: 0  11  with index 11
bad color to improve: 0  15  with index 15
3 bad colorings on level 1
Solved config  |0, 6| descendents: 
|1, 6, 8, 10, 13 |---| 0, 3, 7, 9, 10, 12, 13, 14|
|1, 1, 0, 0|---> |1, 3| possibles  |15|
|1, 6, 0, 0|---> |1, 3| possibles  |15|
|1, 8, 0, 0|---> |1, 9| possibles  |4, 15|
|1, 10, 0, 0|---> |1, 4| possibles  |9|
|1, 13, 0, 0|---> |1, 15| possibles  |3, 9|
|6, 6, 0, 0|---> |1, 3| possibles  |15|
|6, 8, 0, 0|---> |1, 9| possibles  |4, 15|
|6, 10, 0, 0|---> |1, 7| possibles  |9, 15|
|6, 13, 0, 0|---> |1, 12| possibles  |4, 9|
|8, 8, 0, 0|---> |1, 2| possibles  |3, 15|
|8, 10, 0, 0|---> |1, 2| possibles  |3, 15|
|8, 13, 0, 0|---> |1, 5| possibles  |3, 4|
|10, 10, 0, 0|---> |1, 2| possibles  |3, 15|
|10, 13, 0, 0|---> |1, 6| possibles  |0, 3, 9|
|13, 13, 0, 0|---> |1, 5| possibles  |3, 4|
|1, 1, 0, 3|---> |1, 3| possibles  |15|
|1, 6, 0, 3|---> |1, 3| possibles  |15|
|1, 8, 0, 3|---> |1, 9| possibles  |4, 15|
|1, 10, 0, 3|---> |1, 4| possibles  |9|
|1, 13, 0, 3|---> |1, 15| possibles  |3, 9|
|6, 6, 0, 3|---> |1, 3| possibles  |15|
|6, 8, 0, 3|---> |1, 9| possibles  |4, 15|
|6, 10, 0, 3|---> |1, 7| possibles  |9, 15|
|6, 13, 0, 3|---> |1, 12| possibles  |4, 9|
|8, 8, 0, 3|---> |1, 2| possibles  |3, 15|
|8, 10, 0, 3|---> |1, 2| possibles  |3, 15|
|8, 13, 0, 3|---> |1, 5| possibles  |3, 4|
|10, 10, 0, 3|---> |1, 2| possibles  |3, 15|
|10, 13, 0, 3|---> |1, 6| possibles  |0, 3, 9|
|13, 13, 0, 3|---> |1, 5| possibles  |3, 4|
|1, 1, 0, 7|---> |3, 10| possibles  |2, 6, 11, 15|
|1, 6, 0, 7|---> |3, 10| possibles  |2, 6, 11, 15|
|1, 8, 0, 7|---> |6, 9| possibles  |7, 12|
|1, 10, 0, 7|---> |4, 6| possibles  |9, 10, 12, 14|
|1, 13, 0, 7|---> |6, 15| possibles  |3, 7, 9, 10, 13, 14|
|6, 6, 0, 7|---> |3, 10| possibles  |2, 6, 11, 15|
|6, 8, 0, 7|---> |6, 9| possibles  |7, 12|
|6, 10, 0, 7|---> |6, 7| possibles  |9, 10|
|6, 13, 0, 7|---> |6, 12| possibles  |9, 13|
|8, 8, 0, 7|---> |2, 6| possibles  |3, 10, 12|
|8, 10, 0, 7|---> |2, 6| possibles  |3, 10, 12|
|8, 13, 0, 7|---> |5, 6| possibles  |3, 7, 13|
|10, 10, 0, 7|---> |2, 6| possibles  |3, 10, 12|
|10, 13, 0, 7|---> |6, 6| possibles  |0, 3, 7, 9, 10, 12, 13, 14|
|13, 13, 0, 7|---> |5, 6| possibles  |3, 7, 13|
|1, 1, 0, 9|---> |1, 3| possibles  |15|
|1, 6, 0, 9|---> |1, 3| possibles  |15|
|1, 8, 0, 9|---> |1, 9| possibles  |4, 15|
|1, 10, 0, 9|---> |1, 4| possibles  |9|
|1, 13, 0, 9|---> |1, 15| possibles  |3, 9|
|6, 6, 0, 9|---> |1, 3| possibles  |15|
|6, 8, 0, 9|---> |1, 9| possibles  |4, 15|
|6, 10, 0, 9|---> |1, 7| possibles  |9, 15|
|6, 13, 0, 9|---> |1, 12| possibles  |4, 9|
|8, 8, 0, 9|---> |1, 2| possibles  |3, 15|
|8, 10, 0, 9|---> |1, 2| possibles  |3, 15|
|8, 13, 0, 9|---> |1, 5| possibles  |3, 4|
|10, 10, 0, 9|---> |1, 2| possibles  |3, 15|
|10, 13, 0, 9|---> |1, 6| possibles  |0, 3, 9|
|13, 13, 0, 9|---> |1, 5| possibles  |3, 4|
|1, 1, 0, 10|---> |3, 8| possibles  |2, 5|
|1, 6, 0, 10|---> |3, 8| possibles  |2, 5|
|1, 8, 0, 10|---> |6, 9| possibles  |7, 12|
|1, 10, 0, 10|---> |4, 6| possibles  |9, 10, 12, 14|
|1, 13, 0, 10|---> |6, 15| possibles  |3, 7, 9, 10, 13, 14|
|6, 6, 0, 10|---> |3, 8| possibles  |2, 5|
|6, 8, 0, 10|---> |6, 9| possibles  |7, 12|
|6, 10, 0, 10|---> |6, 7| possibles  |9, 10|
|6, 13, 0, 10|---> |6, 12| possibles  |9, 13|
|8, 8, 0, 10|---> |2, 6| possibles  |3, 10, 12|
|8, 10, 0, 10|---> |2, 6| possibles  |3, 10, 12|
|8, 13, 0, 10|---> |5, 6| possibles  |3, 7, 13|
|10, 10, 0, 10|---> |2, 6| possibles  |3, 10, 12|
|10, 13, 0, 10|---> |6, 6| possibles  |0, 3, 7, 9, 10, 12, 13, 14|
|13, 13, 0, 10|---> |5, 6| possibles  |3, 7, 13|
|1, 1, 0, 12|---> |3, 13| possibles  |5, 6, 11, 15|
|1, 6, 0, 12|---> |3, 13| possibles  |5, 6, 11, 15|
|1, 8, 0, 12|---> |6, 9| possibles  |7, 12|
|1, 10, 0, 12|---> |4, 6| possibles  |9, 10, 12, 14|
|1, 13, 0, 12|---> |6, 15| possibles  |3, 7, 9, 10, 13, 14|
|6, 6, 0, 12|---> |3, 13| possibles  |5, 6, 11, 15|
|6, 8, 0, 12|---> |6, 9| possibles  |7, 12|
|6, 10, 0, 12|---> |6, 7| possibles  |9, 10|
|6, 13, 0, 12|---> |6, 12| possibles  |9, 13|
|8, 8, 0, 12|---> |2, 6| possibles  |3, 10, 12|
|8, 10, 0, 12|---> |2, 6| possibles  |3, 10, 12|
|8, 13, 0, 12|---> |5, 6| possibles  |3, 7, 13|
|10, 10, 0, 12|---> |2, 6| possibles  |3, 10, 12|
|10, 13, 0, 12|---> |6, 6| possibles  |0, 3, 7, 9, 10, 12, 13, 14|
|13, 13, 0, 12|---> |5, 6| possibles  |3, 7, 13|
|1, 1, 0, 13|---> |4, 6| possibles  |9, 10, 12, 14|
|1, 6, 0, 13|---> |6, 9| possibles  |7, 12|
|1, 8, 0, 13|---> |6, 9| possibles  |7, 12|
|1, 10, 0, 13|---> |4, 6| possibles  |9, 10, 12, 14|
|1, 13, 0, 13|---> |6, 15| possibles  |3, 7, 9, 10, 13, 14|
|6, 6, 0, 13|---> |6, 7| possibles  |9, 10|
|6, 8, 0, 13|---> |6, 9| possibles  |7, 12|
|6, 10, 0, 13|---> |6, 7| possibles  |9, 10|
|6, 13, 0, 13|---> |6, 12| possibles  |9, 13|
|8, 8, 0, 13|---> |2, 6| possibles  |3, 10, 12|
|8, 10, 0, 13|---> |2, 6| possibles  |3, 10, 12|
|8, 13, 0, 13|---> |5, 6| possibles  |3, 7, 13|
|10, 10, 0, 13|---> |2, 6| possibles  |3, 10, 12|
|10, 13, 0, 13|---> |6, 6| possibles  |0, 3, 7, 9, 10, 12, 13, 14|
|13, 13, 0, 13|---> |5, 6| possibles  |3, 7, 13|
|1, 1, 0, 14|---> |3, 8| possibles  |2, 5|
|1, 6, 0, 14|---> |3, 8| possibles  |2, 5|
|1, 8, 0, 14|---> |6, 9| possibles  |7, 12|
|1, 10, 0, 14|---> |4, 6| possibles  |9, 10, 12, 14|
|1, 13, 0, 14|---> |6, 15| possibles  |3, 7, 9, 10, 13, 14|
|6, 6, 0, 14|---> |3, 8| possibles  |2, 5|
|6, 8, 0, 14|---> |6, 9| possibles  |7, 12|
|6, 10, 0, 14|---> |6, 7| possibles  |9, 10|
|6, 13, 0, 14|---> |6, 12| possibles  |9, 13|
|8, 8, 0, 14|---> |2, 6| possibles  |3, 10, 12|
|8, 10, 0, 14|---> |2, 6| possibles  |3, 10, 12|
|8, 13, 0, 14|---> |5, 6| possibles  |3, 7, 13|
|10, 10, 0, 14|---> |2, 6| possibles  |3, 10, 12|
|10, 13, 0, 14|---> |6, 6| possibles  |0, 3, 7, 9, 10, 12, 13, 14|
|13, 13, 0, 14|---> |5, 6| possibles  |3, 7, 13|
|0, 0, 1, 1|---> |1, 3| possibles  |15|
|0, 3, 1, 1|---> |1, 3| possibles  |15|
|0, 7, 1, 1|---> |4, 6| possibles  |9, 10, 12, 14|
|0, 9, 1, 1|---> |1, 3| possibles  |15|
|0, 10, 1, 1|---> |4, 6| possibles  |9, 10, 12, 14|
|0, 12, 1, 1|---> |4, 6| possibles  |9, 10, 12, 14|
|0, 13, 1, 1|---> |4, 6| possibles  |9, 10, 12, 14|
|0, 14, 1, 1|---> |4, 6| possibles  |9, 10, 12, 14|
|3, 3, 1, 1|---> |1, 3| possibles  |15|
|3, 7, 1, 1|---> |5, 9| possibles  |4, 7, 8|
|3, 9, 1, 1|---> |1, 3| possibles  |15|
|3, 10, 1, 1|---> |2, 3| possibles  |15|
|3, 12, 1, 1|---> |2, 3| possibles  |15|
|3, 13, 1, 1|---> |5, 9| possibles  |4, 7, 8|
|3, 14, 1, 1|---> |4, 6| possibles  |9, 10, 12, 14|
|7, 7, 1, 1|---> |5, 9| possibles  |4, 7, 8|
|7, 9, 1, 1|---> |4, 6| possibles  |9, 10, 12, 14|
|7, 10, 1, 1|---> |4, 6| possibles  |9, 10, 12, 14|
|7, 12, 1, 1|---> |4, 6| possibles  |9, 10, 12, 14|
|7, 13, 1, 1|---> |5, 9| possibles  |4, 7, 8|
|7, 14, 1, 1|---> |4, 6| possibles  |9, 10, 12, 14|
|9, 9, 1, 1|---> |1, 3| possibles  |15|
|9, 10, 1, 1|---> |3, 4| possibles  |1, 5|
|9, 12, 1, 1|---> |3, 4| possibles  |1, 5|
|9, 13, 1, 1|---> |4, 6| possibles  |9, 10, 12, 14|
|9, 14, 1, 1|---> |3, 4| possibles  |1, 5|
|10, 10, 1, 1|---> |2, 3| possibles  |15|
|10, 12, 1, 1|---> |2, 3| possibles  |15|
|10, 13, 1, 1|---> |4, 6| possibles  |9, 10, 12, 14|
|10, 14, 1, 1|---> |3, 4| possibles  |1, 5|
|12, 12, 1, 1|---> |2, 3| possibles  |15|
|12, 13, 1, 1|---> |4, 6| possibles  |9, 10, 12, 14|
|12, 14, 1, 1|---> |3, 4| possibles  |1, 5|
|13, 13, 1, 1|---> |5, 9| possibles  |4, 7, 8|
|13, 14, 1, 1|---> |4, 6| possibles  |9, 10, 12, 14|
|14, 14, 1, 1|---> |3, 4| possibles  |1, 5|
|0, 0, 1, 6|---> |1, 3| possibles  |15|
|0, 3, 1, 6|---> |1, 3| possibles  |15|
|0, 7, 1, 6|---> |6, 9| possibles  |7, 12|
|0, 9, 1, 6|---> |1, 3| possibles  |15|
|0, 10, 1, 6|---> |6, 9| possibles  |7, 12|
|0, 12, 1, 6|---> |6, 9| possibles  |7, 12|
|0, 13, 1, 6|---> |6, 9| possibles  |7, 12|
|0, 14, 1, 6|---> |6, 9| possibles  |7, 12|
|3, 3, 1, 6|---> |1, 3| possibles  |15|
|3, 7, 1, 6|---> |5, 9| possibles  |4, 7, 8|
|3, 9, 1, 6|---> |1, 3| possibles  |15|
|3, 10, 1, 6|---> |2, 3| possibles  |15|
