Trying substitutions to: 8
with goodVertices 1, 2, 3, 7, 9, 10, 12, 13, 14
bad color to improve: 0  10  with index 10
bad color to improve: 0  14  with index 14
bad color to improve: 2  10  with index 39
bad color to improve: 2  14  with index 43
bad color to improve: 5  14  with index 79
bad color to improve: 9  14  with index 113
bad color to improve: 10  14  with index 119
bad color to improve: 14  14  with index 133
8 bad colorings on level 1
Solved config  |0, 14| descendents: 
|1, 6, 8, 10, 13 |---| 4, 6, 8, 11, 15|
|4, 4, 1, 1|---> |1, 4| possibles  |9|
|4, 6, 1, 1|---> |3, 9| possibles  |1, 6, 11, 15|
|4, 8, 1, 1|---> |5, 9| possibles  |4, 7, 8|
|4, 11, 1, 1|---> |3, 9| possibles  |1, 6, 11, 15|
|4, 15, 1, 1|---> |1, 4| possibles  |9|
|6, 6, 1, 1|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|6, 8, 1, 1|---> |3, 9| possibles  |1, 6, 11, 15|
|6, 11, 1, 1|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|6, 15, 1, 1|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|8, 8, 1, 1|---> |2, 4| possibles  |10, 12|
|8, 11, 1, 1|---> |3, 9| possibles  |1, 6, 11, 15|
|8, 15, 1, 1|---> |2, 4| possibles  |10, 12|
|11, 11, 1, 1|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|11, 15, 1, 1|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|15, 15, 1, 1|---> |1, 4| possibles  |9|
|4, 4, 1, 6|---> |5, 9| possibles  |4, 7, 8|
|4, 6, 1, 6|---> |3, 9| possibles  |1, 6, 11, 15|
|4, 8, 1, 6|---> |5, 9| possibles  |4, 7, 8|
|4, 11, 1, 6|---> |3, 9| possibles  |1, 6, 11, 15|
|4, 15, 1, 6|---> |3, 9| possibles  |1, 6, 11, 15|
|6, 6, 1, 6|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|6, 8, 1, 6|---> |3, 9| possibles  |1, 6, 11, 15|
|6, 11, 1, 6|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|6, 15, 1, 6|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|8, 8, 1, 6|---> |2, 9| possibles  |8, 12, 15|
|8, 11, 1, 6|---> |3, 9| possibles  |1, 6, 11, 15|
|8, 15, 1, 6|---> |2, 9| possibles  |8, 12, 15|
|11, 11, 1, 6|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|11, 15, 1, 6|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|15, 15, 1, 6|---> |2, 9| possibles  |8, 12, 15|
|4, 4, 1, 8|---> |5, 9| possibles  |4, 7, 8|
|4, 6, 1, 8|---> |9, 9| possibles  |1, 4, 6, 7, 8, 11, 12, 15|
|4, 8, 1, 8|---> |5, 9| possibles  |4, 7, 8|
|4, 11, 1, 8|---> |9, 9| possibles  |1, 4, 6, 7, 8, 11, 12, 15|
|4, 15, 1, 8|---> |9, 9| possibles  |1, 4, 6, 7, 8, 11, 12, 15|
|6, 6, 1, 8|---> |3, 9| possibles  |1, 6, 11, 15|
|6, 8, 1, 8|---> |9, 9| possibles  |1, 4, 6, 7, 8, 11, 12, 15|
|6, 11, 1, 8|---> |3, 9| possibles  |1, 6, 11, 15|
|6, 15, 1, 8|---> |3, 9| possibles  |1, 6, 11, 15|
|8, 8, 1, 8|---> |2, 9| possibles  |8, 12, 15|
|8, 11, 1, 8|---> |9, 9| possibles  |1, 4, 6, 7, 8, 11, 12, 15|
|8, 15, 1, 8|---> |2, 9| possibles  |8, 12, 15|
|11, 11, 1, 8|---> |3, 9| possibles  |1, 6, 11, 15|
|11, 15, 1, 8|---> |3, 9| possibles  |1, 6, 11, 15|
|15, 15, 1, 8|---> |2, 9| possibles  |8, 12, 15|
|4, 4, 1, 10|---> |1, 4| possibles  |9|
|4, 6, 1, 10|---> |4, 9| possibles  |1, 12|
|4, 8, 1, 10|---> |5, 15| possibles  |3, 7, 13|
|4, 11, 1, 10|---> |4, 9| possibles  |1, 12|
|4, 15, 1, 10|---> |1, 4| possibles  |9|
|6, 6, 1, 10|---> |3, 4| possibles  |1, 5|
|6, 8, 1, 10|---> |4, 9| possibles  |1, 12|
|6, 11, 1, 10|---> |3, 4| possibles  |1, 5|
|6, 15, 1, 10|---> |3, 4| possibles  |1, 5|
|8, 8, 1, 10|---> |2, 4| possibles  |10, 12|
|8, 11, 1, 10|---> |4, 9| possibles  |1, 12|
|8, 15, 1, 10|---> |2, 4| possibles  |10, 12|
|11, 11, 1, 10|---> |3, 4| possibles  |1, 5|
|11, 15, 1, 10|---> |3, 4| possibles  |1, 5|
|15, 15, 1, 10|---> |1, 4| possibles  |9|
|4, 4, 1, 13|---> |1, 15| possibles  |3, 9|
|4, 6, 1, 13|---> |9, 15| possibles  |1, 7|
|4, 8, 1, 13|---> |5, 15| possibles  |3, 7, 13|
|4, 11, 1, 13|---> |9, 15| possibles  |1, 7|
|4, 15, 1, 13|---> |1, 15| possibles  |3, 9|
|6, 6, 1, 13|---> |3, 15| possibles  |1, 2|
|6, 8, 1, 13|---> |9, 15| possibles  |1, 7|
|6, 11, 1, 13|---> |3, 15| possibles  |1, 2|
|6, 15, 1, 13|---> |3, 15| possibles  |1, 2|
|8, 8, 1, 13|---> |2, 15| possibles  |3, 10|
